Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
937	Student	3	0	1577	8	26	8	52	1577	1540	30	0	6	2	11	1	1	365	7	92	13	49	8	22	0	
949	Visitor	1	0	0	8	50	8	50	0	3003	0	0	9	1	0	5	1	384	6	77	3	44	8	22	0	
953	Faculty	2	0	631	8	57	9	7	631	3398	18	0	9	1	1	4	1	384	7	78	4	44	8	22	0	
938	Visitor	1	0	2380	8	30	9	10	2380	1830	99	0	5	2	8	4	1	365	9	90	12	48	8	22	0	
954	Student	3	0	2218	8	46	9	23	2218	2785	42	0	9	1	1	4	1	384	8	78	4	44	8	22	0	
931	Faculty	2	0	4181	8	32	9	41	4181	1894	122	0	7	1	0	3	1	354	9	90	12	48	8	22	0	
934	Student	3	0	5066	8	24	9	48	5066	1433	95	0	5	2	10	2	1	365	6	94	13	51	8	22	0	
963	Student	3	0	1908	9	19	9	51	1908	4743	36	0	5	2	4	8	2	365	12	70	3	37	8	22	0	
950	Visitor	1	0	4970	8	46	10	9	4970	2760	207	0	5	2	7	5	1	365	8	78	4	44	8	22	0	
998	Student	3	0	45	9	47	9	48	45	6424	1	0	3	2	12	1	1	386	21	60	3	27	8	22	0	
993	Visitor	1	0	652	9	58	10	9	652	7086	27	0	3	2	11	2	2	386	18	54	1	23	8	22	0	
952	Staff	5	0	4420	8	49	10	3	4420	2939	55	0	10	1	1	4	1	384	7	77	3	44	8	22	0	
964	Faculty	2	0	3519	9	3	10	1	3519	3761	103	0	6	2	8	4	1	365	10	76	4	42	8	22	0	
970	Staff	5	0	2911	9	20	10	9	2911	4804	36	0	6	2	4	8	1	365	11	70	3	37	8	22	0	
935	Student	3	0	5991	8	27	10	7	5991	1631	112	0	7	1	0	3	1	354	7	91	12	49	8	22	0	
