Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
929	Student	3	1	1049	8	17	8	35	1049	1033	20	0	5	2	11	1	1	365	1	98	16	52	8	22	0	
946	Visitor	1	1	470	8	55	9	3	470	3319	20	0	5	2	3	9	1	365	14	76	9	37	8	22	0	
931	Visitor	1	1	1727	8	42	9	11	1727	2523	72	0	5	2	8	4	1	365	11	88	13	45	8	22	0	
952	Faculty	2	1	296	8	55	8	60	296	3285	9	0	6	2	5	7	1	365	15	76	9	37	8	22	0	
953	Faculty	2	1	851	8	48	9	3	851	2907	25	0	9	1	3	2	1	384	15	81	11	40	8	22	0	
959	Visitor	1	1	361	9	1	9	7	361	3677	15	0	10	1	2	3	1	384	13	71	7	34	8	22	0	
936	Student	3	1	1622	8	34	9	1	1622	2030	30	0	6	2	10	2	1	365	11	93	15	48	8	22	0	
945	Student	3	1	2106	8	40	9	15	2106	2393	39	0	5	2	8	4	1	365	12	89	13	46	8	22	0	
933	Faculty	2	1	3727	8	31	9	33	3727	1839	109	0	5	2	9	3	1	365	10	95	15	50	8	22	0	
981	Visitor	1	1	448	9	23	9	30	448	4976	19	0	3	2	12	1	1	386	15	65	4	31	8	22	0	
958	Visitor	1	1	2717	9	7	9	52	2717	3994	113	0	6	2	4	8	1	365	14	71	5	36	8	22	0	
988	Student	3	1	1890	9	40	10	12	1890	6003	35	0	4	2	7	6	1	386	18	61	4	27	8	22	0	
1006	Visitor	1	1	83	10	13	10	14	83	7962	3	0	3	2	3	10	1	386	25	44	4	10	8	22	0	
980	Student	3	1	2126	9	23	9	59	2126	5002	40	0	4	2	11	2	1	386	13	65	4	31	8	22	0	
942	Student	3	1	4739	8	52	10	11	4739	3115	89	0	9	1	3	2	2	384	13	79	10	39	8	22	0	
950	Student	3	1	4858	8	52	10	13	4858	3098	91	0	5	2	4	8	1	365	14	80	11	39	8	22	1	
938	Student	3	1	6149	8	38	10	21	6149	2294	115	0	7	1	0	3	1	354	12	90	13	47	8	22	1	
951	Visitor	1	1	4806	9	1	10	21	4806	3669	200	0	6	2	2	10	1	365	14	71	7	34	8	22	1	
997	Staff	5	1	1355	10	31	10	54	1355	9070	17	0	13	2	1	2	2	579	23	37	2	5	8	22	3	
985	Staff	5	1	2982	10	1	10	51	2982	7290	37	0	4	2	5	8	2	386	25	48	4	14	8	22	3	
964	Visitor	1	1	5385	9	16	10	46	5385	4547	224	0	6	2	1	11	1	365	15	69	6	33	8	22	3	
930	Faculty	2	1	9183	8	21	10	54	9183	1244	268	0	7	1	2	1	1	354	1	97	15	52	8	22	3	
1003	Student	3	1	2532	10	8	10	50	2532	7666	47	0	3	2	3	10	1	386	26	45	4	11	8	22	3	
956	Faculty	2	1	7032	8	57	10	54	7032	3413	205	0	10	1	2	3	1	384	14	74	8	36	8	22	3	
