Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
929	Visitor	1	0	7593	8	18	8	0	0	1083	0	0	7	1	2	1	1	354	9	97	15	52	8	22	0	
930	Visitor	1	0	10761	8	25	8	0	0	1493	0	0	6	2	10	2	1	365	14	92	13	49	8	22	0	
931	Visitor	1	0	9404	8	28	8	0	0	1660	0	0	5	2	10	2	1	365	14	89	11	48	8	22	0	
932	Student	3	0	13822	8	28	8	0	0	1685	0	0	10	1	4	1	1	384	13	89	11	48	8	22	0	
933	Student	3	0	4582	8	17	8	0	0	1017	0	0	6	2	11	1	1	365	9	97	15	52	8	22	0	
934	Staff	5	0	4357	8	22	8	0	0	1326	0	0	7	1	0	3	1	354	12	93	13	50	8	22	0	
935	Student	3	0	5741	8	26	8	0	0	1520	0	0	7	1	0	3	1	354	13	92	13	49	8	22	0	
936	Faculty	2	0	3700	8	0	8	0	0	-21	0	0	0	0	0	0	2	672	10	0	0	0	0	0	0	
937	Visitor	1	0	275	8	20	8	25	275	1178	11	0	5	2	11	1	1	365	10	95	14	51	8	22	0	
938	Faculty	2	0	10390	8	36	8	0	0	2115	0	0	6	2	6	6	1	365	13	82	8	44	8	22	0	
939	Prin	4	0	4664	8	0	8	0	0	-35	0	0	0	2	0	0	1	672	0	0	0	0	0	0	0	
940	Student	3	0	3549	8	29	8	0	0	1705	0	0	9	1	4	1	1	384	13	88	11	47	8	22	0	
941	Staff	5	0	6299	8	32	8	0	0	1866	0	0	6	2	7	5	1	365	14	84	9	45	8	22	0	
942	Student	3	0	8552	8	33	8	0	0	1930	0	0	9	1	3	2	1	384	14	83	9	44	8	22	0	
943	Visitor	1	0	451	8	35	8	42	451	2030	19	0	10	1	2	3	1	384	14	81	8	43	8	22	0	
944	Staff	5	0	11700	8	39	8	0	0	2302	0	0	6	2	5	7	1	365	13	79	6	43	8	22	0	
945	Student	3	0	10409	8	37	8	0	0	2150	0	0	5	2	9	3	1	365	12	81	7	44	8	22	0	
946	Student	3	0	6745	8	40	8	0	0	2344	0	0	5	2	9	3	1	365	11	79	6	43	8	22	0	
947	Student	3	0	12129	8	40	8	0	0	2318	0	0	10	1	0	5	1	384	12	79	6	43	8	22	0	
948	Student	3	0	10105	8	0	8	0	0	-83	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
950	Student	3	0	9068	8	0	8	0	0	-88	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
951	Student	3	0	12916	8	0	8	0	0	-93	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
952	Staff	5	0	5674	8	0	8	0	0	-101	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
953	Staff	5	0	1370	8	0	8	0	0	-125	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
954	Student	3	0	9409	8	0	8	0	0	-125	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
955	Student	3	0	5787	8	0	8	0	0	-132	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
956	Staff	5	0	3671	8	42	8	0	0	2409	0	0	5	2	8	4	1	365	11	77	5	42	8	22	0	
957	Student	3	0	8504	8	0	8	0	0	-143	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
