Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
942	Student	3	1	1547	8	34	8	60	1547	2048	29	0	6	2	8	4	1	365	7	85	10	45	8	22	0	
976	Student	3	1	3061	8	0	8	0	0	0	0	0	0	0	0	0	2	672	22	0	0	0	0	0	1	
977	Visitor	1	1	7657	8	0	8	0	0	0	0	0	0	0	0	0	2	672	22	0	0	0	0	0	2	
981	Faculty	2	1	1685	8	0	8	0	0	0	0	0	0	0	0	0	2	672	21	0	0	0	0	0	3	
939	Faculty	2	1	2759	8	29	9	15	2759	1763	80	0	5	2	9	3	1	365	10	88	12	46	8	22	7	
967	Visitor	1	1	5080	8	0	8	0	0	0	0	0	0	0	0	0	2	672	20	0	0	0	0	0	7	
975	Faculty	2	1	368	9	21	9	27	368	4875	11	0	6	2	1	11	1	365	21	64	0	34	8	22	7	
969	Staff	5	1	8286	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	7	
949	Student	3	1	2800	8	45	9	31	2800	2688	53	0	6	2	7	5	1	365	12	80	8	42	8	22	7	
989	Student	3	1	4319	8	0	8	0	0	0	0	0	0	0	0	0	2	672	8	0	0	0	0	0	7	
984	Staff	5	1	4683	8	0	8	0	0	0	0	0	0	0	0	0	2	672	17	0	0	0	0	0	7	
985	Visitor	1	1	5372	8	0	8	0	0	0	0	0	0	0	0	0	2	672	15	0	0	0	0	0	7	
986	Faculty	2	1	4358	8	0	8	0	0	0	0	0	0	0	0	0	2	672	14	0	0	0	0	0	7	
991	Faculty	2	1	3017	8	0	8	0	0	0	0	0	0	0	0	0	2	672	8	0	0	0	0	0	7	
990	Staff	5	1	1096	9	20	9	38	1096	4774	14	0	3	2	12	1	1	386	21	64	0	34	8	22	7	
987	Staff	5	1	6193	8	0	8	0	0	0	0	0	0	0	0	0	2	672	13	0	0	0	0	0	7	
997	Student	3	1	680	9	30	9	42	680	5414	13	0	3	2	11	2	1	386	18	60	0	31	7	22	7	
929	Staff	5	1	3633	8	16	9	16	3633	940	45	0	5	2	11	1	1	365	6	98	16	52	8	22	7	
978	Student	3	1	12023	8	0	8	0	0	0	0	0	0	0	0	0	2	672	7	0	0	0	0	0	8	
938	Faculty	2	1	4028	8	35	9	42	4028	2117	117	0	8	1	0	3	1	354	7	84	9	45	8	22	8	
982	Faculty	2	1	922	9	30	9	45	922	5407	27	0	6	2	1	11	1	365	19	60	0	31	7	22	8	
1006	Student	3	1	11458	8	0	8	0	0	0	0	0	0	0	0	0	2	672	12	0	0	0	0	0	8	
963	Visitor	1	1	3243	9	3	9	57	3243	3793	135	0	10	1	0	5	1	384	18	64	0	34	8	22	10	
1016	Student	3	1	9440	8	0	8	0	0	0	0	0	0	0	0	0	2	672	16	0	0	0	0	0	14	
935	Staff	5	1	5300	8	26	9	55	5300	1584	66	0	6	2	9	3	1	365	9	90	13	47	8	22	15	
1003	Student	3	1	9984	8	0	8	0	0	0	0	0	0	0	0	0	2	672	15	0	0	0	0	0	15	
999	Student	3	1	982	9	39	9	55	982	5914	18	0	5	2	2	10	1	365	11	55	0	28	5	22	16	
993	Student	3	1	1488	9	49	10	14	1488	6566	28	0	11	3	1	3	2	654	9	57	1	30	4	22	16	
980	Faculty	2	1	3186	9	15	10	8	3186	4492	93	0	6	2	1	11	1	365	20	63	0	33	8	22	16	
