Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
941	Faculty	2	1	48	8	40	8	41	48	2382	1	0	5	2	9	3	1	365	6	88	11	47	8	22	0	
938	Student	3	1	1228	8	39	8	59	1228	2321	23	0	7	1	0	3	1	354	6	88	11	47	8	22	1	
962	Visitor	1	1	5105	8	0	8	0	0	0	0	0	0	0	0	0	2	672	16	0	0	0	0	0	1	
940	Staff	5	1	2399	8	39	9	19	2399	2321	30	0	8	1	1	2	1	354	7	88	11	47	8	22	2	
980	Visitor	1	1	6585	8	0	8	0	0	0	0	0	0	0	0	0	2	672	19	0	0	0	0	0	4	
967	Student	3	1	3209	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	5	
986	Visitor	1	1	816	8	0	8	0	0	0	0	0	0	0	0	0	2	672	21	0	0	0	0	0	7	
978	Student	3	1	1214	8	0	8	0	0	0	0	0	0	0	0	0	2	672	21	0	0	0	0	0	7	
952	Student	3	1	1577	9	5	9	31	1577	3880	30	0	5	2	4	8	1	365	13	72	3	39	8	22	8	
973	Student	3	1	11510	8	0	8	0	0	0	0	0	0	0	0	0	2	672	21	0	0	0	0	0	8	
987	Student	3	1	426	8	0	8	0	0	0	0	0	0	0	0	0	2	672	21	0	0	0	0	0	9	
992	Faculty	2	1	5247	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	9	
960	Visitor	1	1	2263	9	9	9	46	2263	4116	94	0	6	2	4	8	1	365	14	70	3	37	8	22	10	
963	Faculty	2	1	1946	9	15	9	48	1946	4525	57	0	5	2	3	9	1	365	15	68	3	35	8	22	10	
991	Student	3	1	2978	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	11	
946	Faculty	2	1	3689	8	47	9	49	3689	2842	108	0	6	2	8	4	1	365	7	84	8	46	8	22	11	
1009	Student	3	1	7236	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	11	
1012	Student	3	1	8094	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	11	
934	Staff	5	1	5453	8	27	9	58	5453	1649	68	0	8	1	2	1	1	354	6	94	14	50	8	22	11	
1004	Student	3	1	6790	8	0	8	0	0	0	0	0	0	0	0	0	2	672	22	0	0	0	0	0	11	
977	Staff	5	1	1930	9	35	10	7	1930	5682	24	0	6	2	1	11	1	365	18	63	2	31	8	22	11	
1006	Staff	5	1	11441	8	0	8	0	0	0	0	0	0	0	0	0	2	672	20	0	0	0	0	0	11	
1011	Student	3	1	4310	8	0	8	0	0	0	0	0	0	0	0	0	2	672	19	0	0	0	0	0	11	
997	Visitor	1	1	25	9	59	9	60	25	7157	1	0	5	2	1	11	2	365	19	53	3	24	5	21	11	
955	Visitor	1	1	3964	9	1	10	7	3964	3673	165	0	9	1	1	4	1	384	13	75	4	41	8	22	11	
1013	Student	3	1	5315	8	0	8	0	0	0	0	0	0	0	0	0	2	672	15	0	0	0	0	0	11	
933	Student	3	1	5723	8	36	10	11	5723	2141	107	0	7	1	0	3	1	354	7	89	11	48	8	22	11	
948	Visitor	1	1	5037	8	50	10	14	5037	3006	210	0	10	1	3	2	1	384	9	84	8	46	8	22	12	
935	Student	3	1	4993	8	35	9	58	4993	2105	94	0	5	2	9	3	1	365	8	90	12	48	8	22	12	
943	Visitor	1	1	5262	8	42	10	9	5262	2498	219	0	6	2	8	4	1	365	5	88	11	47	8	22	12	
975	Faculty	2	1	3671	9	26	10	27	3671	5177	107	0	10	1	0	5	1	384	18	64	2	32	8	22	12	
949	Faculty	2	1	5706	8	51	10	26	5706	3076	166	0	5	2	8	4	1	365	9	83	8	45	8	22	12	
953	Visitor	1	1	5588	8	57	10	30	5588	3425	233	0	5	2	7	5	1	365	14	79	5	44	8	22	12	
990	Faculty	2	1	3152	9	37	10	29	3152	5802	92	0	4	2	9	4	1	386	18	62	2	30	8	22	12	
1014	Student	3	1	9664	8	0	8	0	0	0	0	0	0	0	0	0	2	672	9	0	0	0	0	0	12	
972	Student	3	1	2457	9	41	10	22	2457	6058	46	0	6	2	1	11	2	365	20	61	2	30	7	22	12	
1016	Visitor	1	1	702	10	4	10	16	702	7451	29	0	3	2	10	3	1	386	22	51	3	22	5	21	12	
998	Faculty	2	1	1212	10	13	10	33	1212	7959	35	0	5	2	3	9	2	365	16	52	4	23	4	21	12	
1001	Staff	5	1	1853	9	51	10	22	1853	6675	23	0	4	2	8	5	1	386	20	58	2	29	6	21	12	
1038	Visitor	1	1	6088	8	0	8	0	0	0	0	0	0	0	0	0	2	672	10	0	0	0	0	0	12	
1005	Faculty	2	1	2949	9	53	10	42	2949	6795	86	0	3	2	11	2	1	386	19	58	2	29	6	21	12	
1027	Visitor	1	1	948	10	29	10	45	948	8938	40	0	4	2	6	7	1	386	13	46	3	19	3	21	12	
1035	Visitor	1	1	379	10	48	10	54	379	10065	16	0	3	2	6	7	1	386	12	46	1	22	2	21	14	
965	Faculty	2	1	5674	9	19	10	54	5674	4738	166	0	5	2	3	9	1	365	16	66	2	34	8	22	15	
956	Visitor	1	1	6079	9	4	10	46	6079	3865	253	0	9	1	1	4	1	384	14	73	3	40	8	22	15	
1032	Visitor	1	1	848	10	28	10	42	848	8893	35	0	3	2	5	8	1	386	14	45	2	19	3	21	15	
932	Visitor	1	1	9074	8	23	10	54	9074	1364	378	0	5	2	11	1	1	365	2	95	15	50	8	22	15	
1029	Student	3	1	1201	10	30	10	50	1201	9015	23	0	3	2	5	8	1	386	12	45	2	19	3	21	15	
1040	Visitor	1	1	7334	8	0	8	0	0	0	0	0	0	0	0	0	2	672	11	0	0	0	0	0	15	
1043	Visitor	1	1	6293	8	0	8	0	0	0	0	0	0	0	0	0	2	672	10	0	0	0	0	0	15	
1042	Staff	5	1	295	8	0	8	0	0	0	0	0	0	0	0	0	2	672	10	0	0	0	0	0	15	
