DateTime            	Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
2022-01-01 08:25:00	936	Student	3	1	406	8	25	8	32	406	1510	8	0	6	2	10	2	1	365	5	93	14	49	8	22	1	
2022-01-01 08:25:00	937	Faculty	2	1	1333	8	25	8	47	1333	1498	39	0	8	1	2	1	1	354	6	93	14	49	8	22	1	
2022-01-01 08:00:00	942	Staff	5	1	8883	8	0	8	0	0	0	0	0	0	0	0	0	2	672	17	0	0	0	0	0	1	
2022-01-01 08:39:00	948	Visitor	1	1	1143	8	39	8	58	1143	2359	48	0	6	2	8	4	1	365	12	88	12	46	8	22	1	
2022-01-01 08:00:00	983	Student	3	1	7432	8	0	8	0	0	0	0	0	0	0	0	0	2	672	15	0	0	0	0	0	2	
2022-01-01 08:55:00	959	Faculty	2	1	731	8	55	9	8	731	3321	21	0	8	1	0	3	1	354	17	74	3	41	8	22	2	
2022-01-01 08:00:00	975	Faculty	2	1	4296	8	0	8	0	0	0	0	0	0	0	0	0	2	672	12	0	0	0	0	0	2	
2022-01-01 09:21:00	977	Student	3	1	95	9	21	9	22	95	4845	2	0	5	2	0	12	1	365	16	60	1	29	8	22	3	
2022-01-01 09:16:00	984	Student	3	1	424	9	16	9	23	424	4546	8	0	8	1	0	3	1	354	17	62	1	31	8	22	3	
2022-01-01 08:00:00	992	Faculty	2	1	7713	8	0	8	0	0	0	0	0	0	0	0	0	2	672	14	0	0	0	0	0	6	
2022-01-01 09:26:00	980	Faculty	2	1	77	9	26	9	28	77	5177	2	0	5	2	1	11	1	365	12	58	2	27	7	22	6	
2022-01-01 08:49:00	953	Student	3	1	2768	8	49	9	36	2768	2964	52	0	9	1	4	1	1	384	16	81	8	43	8	22	6	
2022-01-01 08:22:00	935	Student	3	1	3491	8	22	9	20	3491	1334	65	0	5	2	10	2	1	365	6	94	15	49	8	22	6	
2022-01-01 09:27:00	979	Visitor	1	1	562	9	27	9	36	562	5226	23	0	6	2	2	10	1	365	12	59	2	28	7	22	6	
2022-01-01 08:46:00	944	Student	3	1	3199	8	46	9	40	3199	2775	60	0	10	1	2	3	1	384	16	83	9	44	8	22	6	
2022-01-01 08:54:00	945	Student	3	1	2903	8	54	9	42	2903	3244	54	0	10	1	0	5	1	384	18	76	5	41	8	22	6	
2022-01-01 08:00:00	996	Student	3	1	8456	8	0	8	0	0	0	0	0	0	0	0	0	2	672	17	0	0	0	0	0	6	
2022-01-01 08:00:00	998	Visitor	1	1	8607	8	0	8	0	0	0	0	0	0	0	0	0	2	672	16	0	0	0	0	0	6	
2022-01-01 08:00:00	1000	Staff	5	1	13211	8	0	8	0	0	0	0	0	0	0	0	0	2	672	15	0	0	0	0	0	6	
2022-01-01 09:23:00	974	Student	3	1	1524	9	23	9	49	1524	5009	29	0	11	3	3	1	2	654	14	58	1	28	7	22	6	
2022-01-01 08:00:00	1004	Student	3	1	8170	8	0	8	0	0	0	0	0	0	0	0	0	2	672	14	0	0	0	0	0	6	
2022-01-01 09:24:00	960	Student	3	1	2489	9	24	10	5	2489	5040	47	0	6	2	2	10	2	365	14	59	2	28	7	22	6	
2022-01-01 08:20:00	934	Visitor	1	1	6262	8	20	10	5	6262	1211	261	0	5	2	10	2	1	365	5	95	15	50	8	22	6	
2022-01-01 09:37:00	970	Visitor	1	1	1713	9	37	10	6	1713	5846	71	0	5	2	3	9	2	365	13	58	2	28	6	22	6	
2022-01-01 08:41:00	949	Faculty	2	1	4951	8	41	10	4	4951	2469	144	0	10	1	4	1	1	384	14	87	11	46	8	22	6	
2022-01-01 09:44:00	995	Staff	5	1	711	9	44	9	56	711	6269	9	0	10	1	1	4	1	384	14	57	3	26	6	22	6	
2022-01-01 09:12:00	971	Student	3	1	3759	9	12	10	15	3759	4327	70	0	6	2	2	10	1	365	16	65	2	33	8	22	6	
2022-01-01 09:55:00	999	Faculty	2	1	710	9	55	10	7	710	6882	21	0	6	2	1	11	1	365	15	53	3	21	7	22	6	
2022-01-01 09:33:00	978	Staff	5	1	2595	9	33	10	16	2595	5574	32	0	5	2	3	9	1	365	14	58	1	28	7	22	6	
2022-01-01 08:22:00	933	Student	3	1	7026	8	22	10	19	7026	1302	132	0	7	1	2	1	1	354	6	94	15	49	8	22	6	
2022-01-01 08:51:00	952	Staff	5	1	5107	8	51	10	16	5107	3033	64	0	10	1	0	5	1	384	16	80	7	43	8	22	6	
2022-01-01 10:12:00	1010	Visitor	1	1	450	10	12	10	19	450	7912	19	0	5	2	2	10	2	365	13	49	4	17	6	22	6	
2022-01-01 09:06:00	966	Student	3	1	4884	9	6	10	28	4884	3984	92	0	6	2	4	8	1	365	16	68	1	37	8	22	6	
2022-01-01 08:31:00	938	Student	3	1	6680	8	31	10	22	6680	1836	125	0	6	2	8	4	1	365	6	90	13	47	8	22	7	
2022-01-01 10:24:00	1020	Visitor	1	1	343	10	24	10	29	343	8613	14	0	4	2	5	8	1	386	9	48	3	18	5	22	7	
2022-01-01 08:00:00	1023	Student	3	1	8680	8	0	8	0	0	0	0	0	0	0	0	0	2	672	7	0	0	0	0	0	8	
2022-01-01 09:29:00	982	Faculty	2	1	4595	9	29	10	46	4595	5362	134	0	5	2	2	10	1	365	13	59	2	28	7	22	8	
2022-01-01 10:03:00	1007	Faculty	2	1	2036	10	3	10	37	2036	7381	59	0	10	1	0	5	1	384	14	50	2	20	6	22	8	
2022-01-01 08:15:00	929	Faculty	2	1	8066	8	15	10	30	8066	920	235	0	6	2	11	1	1	365	5	98	16	52	8	22	8	
2022-01-01 08:54:00	956	Student	3	1	6911	8	54	10	49	6911	3257	130	0	6	2	5	7	1	365	18	75	4	41	8	22	8	
2022-01-01 10:02:00	1013	Visitor	1	1	2981	10	2	10	52	2981	7340	124	0	3	2	5	8	1	386	14	50	2	20	6	22	8	
2022-01-01 08:33:00	939	Student	3	1	8142	8	33	10	49	8142	1986	153	0	8	1	0	3	1	354	7	90	12	48	8	22	8	
2022-01-01 08:00:00	1036	Student	3	1	6612	8	0	8	0	0	0	0	0	0	0	0	0	2	672	7	0	0	0	0	0	8	
2022-01-01 10:17:00	1012	Student	3	1	1995	10	17	10	51	1995	8244	37	0	11	3	3	1	2	654	12	48	4	17	5	22	8	
2022-01-01 08:36:00	940	Faculty	2	1	8582	8	36	10	59	8582	2131	250	0	6	2	9	3	1	365	9	90	12	48	8	22	8	
2022-01-01 08:50:00	947	Student	3	1	7942	8	50	11	2	7942	2989	149	0	5	2	7	5	1	365	16	80	7	43	8	22	8	
2022-01-01 09:06:00	968	Staff	5	1	6743	9	6	10	58	6743	3961	84	0	9	1	0	5	1	384	17	69	1	38	8	22	8	
2022-01-01 10:50:00	1038	Student	3	1	1192	10	50	11	10	1192	10216	22	0	1	4	10	1	1	672	7	49	5	19	4	21	8	
2022-01-01 09:14:00	973	Staff	5	1	6765	9	14	11	7	6765	4467	85	0	5	2	1	11	1	365	18	63	1	32	8	22	8	
2022-01-01 09:18:00	986	Student	3	1	5999	9	18	10	58	5999	4651	112	0	3	2	12	1	1	386	17	61	1	30	8	22	8	
2022-01-01 09:31:00	991	Student	3	1	5272	9	31	10	59	5272	5488	99	0	3	2	8	5	1	386	14	57	1	27	7	22	8	
2022-01-01 08:43:00	943	Student	3	1	8449	8	43	11	4	8449	2575	158	0	5	2	8	4	1	365	14	85	10	45	8	22	8	
2022-01-01 10:06:00	1006	Faculty	2	1	4204	10	6	11	16	4204	7570	123	0	3	2	4	9	1	386	13	51	4	19	6	22	8	
2022-01-01 10:28:00	1030	Student	3	1	2355	10	28	11	7	2355	8883	44	0	10	1	0	5	1	384	7	46	3	17	4	22	8	
2022-01-01 08:37:00	941	Student	3	1	9080	8	37	11	8	9080	2198	170	0	8	1	0	3	1	354	10	89	12	47	8	22	8	
2022-01-01 08:59:00	951	Visitor	1	1	8152	8	59	11	15	8152	3525	340	0	10	1	0	5	1	384	16	73	3	40	8	22	8	
2022-01-01 10:23:00	1028	Student	3	1	3006	10	23	11	13	3006	8598	56	0	10	1	0	5	1	384	10	48	3	18	5	22	8	
2022-01-01 10:09:00	1015	Faculty	2	1	3481	10	9	11	7	3481	7733	102	0	5	2	4	8	2	365	14	52	4	20	6	22	8	
2022-01-01 10:28:00	1005	Visitor	1	1	3176	10	28	11	21	3176	8888	132	0	11	3	2	2	2	654	6	46	3	17	4	22	8	
2022-01-01 09:08:00	958	Faculty	2	1	7687	9	8	11	16	7687	4099	224	0	6	2	3	9	2	365	16	67	1	36	8	22	8	
2022-01-01 09:39:00	994	Student	3	1	6711	9	39	11	31	6711	5945	126	0	3	2	8	5	1	386	13	58	2	28	6	22	8	
2022-01-01 11:11:00	1051	Faculty	2	1	572	11	11	11	20	572	11454	17	0	5	2	5	7	1	365	4	53	4	23	4	22	8	
2022-01-01 09:56:00	1003	Faculty	2	1	5917	9	56	11	35	5917	6966	173	0	4	2	8	5	1	386	15	52	2	21	7	22	8	
2022-01-01 10:31:00	1021	Staff	5	1	3033	10	31	11	22	3033	9066	38	0	6	2	4	8	1	365	3	49	3	20	4	22	8	
2022-01-01 11:21:00	1049	Student	3	1	546	11	21	11	30	546	12036	10	0	12	3	0	4	1	654	1	55	6	24	3	22	8	
2022-01-01 10:21:00	1018	Student	3	1	4137	10	21	11	30	4137	8475	78	0	3	2	4	9	1	386	10	49	4	18	5	22	8	
2022-01-01 10:42:00	1027	Staff	5	1	3378	10	42	11	38	3378	9728	42	0	6	2	2	10	1	365	7	48	4	18	4	22	8	
2022-01-01 09:11:00	972	Visitor	1	1	9436	9	11	11	48	9436	4252	393	0	5	2	3	9	1	365	16	66	2	34	8	22	9	
2022-01-01 10:19:00	1019	Student	3	1	4788	10	19	11	39	4788	8364	90	0	4	2	5	8	1	386	10	48	4	17	5	22	9	
2022-01-01 08:56:00	957	Student	3	1	10765	8	56	11	56	10765	3377	202	0	5	2	7	5	1	365	16	74	3	41	8	22	9	
2022-01-01 10:44:00	1037	Staff	5	1	3520	10	44	11	43	3520	9865	44	0	6	2	2	10	1	365	8	48	4	18	4	22	9	
2022-01-01 08:00:00	1060	Student	3	1	10545	8	0	8	0	0	0	0	0	0	0	0	0	2	672	4	0	0	0	0	0	9	
2022-01-01 08:60:00	962	Student	3	1	10692	8	60	11	58	10692	3572	200	0	9	1	1	4	1	384	15	72	2	40	8	22	9	
2022-01-01 08:57:00	961	Staff	5	1	11351	8	57	12	6	11351	3401	402	229	9	1	2	3	1	384	16	74	3	41	8	22	9	
2022-01-01 09:09:00	969	Student	3	1	11652	9	9	12	24	11652	4161	680	355	9	1	0	5	1	384	15	67	2	35	8	22	9	
2022-01-01 09:33:00	985	Visitor	1	1	10407	9	33	12	26	10407	5580	434	0	8	1	0	3	2	354	13	58	1	28	7	22	9	
2022-01-01 10:01:00	1001	Student	3	1	8819	10	1	12	28	8819	7247	165	0	12	3	2	2	1	654	15	50	2	20	6	22	9	
2022-01-01 09:28:00	990	Faculty	2	1	10767	9	28	12	27	10767	5269	314	0	3	2	9	4	1	386	12	59	2	28	7	22	9	
2022-01-01 09:02:00	955	Student	3	1	12792	9	2	12	35	12792	3690	240	0	6	2	5	7	1	365	16	71	1	40	8	22	9	
2022-01-01 09:51:00	1009	Faculty	2	1	10240	9	51	12	42	10240	6654	299	0	4	2	9	4	1	386	18	56	3	24	7	22	9	
2022-01-01 09:43:00	1002	Staff	5	1	10955	9	43	12	45	10955	6169	137	0	4	2	11	2	1	386	13	56	2	26	6	22	9	
2022-01-01 10:60:00	1043	Student	3	1	5874	10	60	12	38	5874	10791	110	0	7	1	0	3	2	354	10	51	4	21	5	21	9	
2022-01-01 11:18:00	1050	Faculty	2	1	4675	11	18	12	35	4675	11854	136	0	5	2	4	8	1	365	2	55	6	24	3	22	9	
2022-01-01 12:35:00	1089	Visitor	1	1	1224	12	35	12	56	1224	16521	51	0	4	2	5	8	1	386	9	48	3	21	5	19	9	
2022-01-01 11:59:00	1064	Visitor	1	1	3733	11	59	13	1	3733	14355	156	0	1	4	10	1	1	672	5	59	5	28	5	21	9	
2022-01-01 08:59:00	965	Student	3	1	13838	8	59	12	49	13838	3512	1556	1266	7	1	1	2	1	354	17	73	3	40	8	22	9	
2022-01-01 09:21:00	987	Student	3	1	12546	9	21	12	50	12546	4831	235	0	4	2	12	1	1	386	17	60	1	29	8	22	9	
2022-01-01 10:04:00	1014	Faculty	2	1	9273	10	4	12	38	9273	7416	270	0	4	2	7	6	1	386	13	50	3	19	6	22	9	
2022-01-01 11:00:00	1040	Staff	5	1	6744	11	0	12	53	6744	10809	84	0	6	2	3	9	1	365	9	52	4	22	5	21	9	
2022-01-01 12:38:00	1086	Faculty	2	1	1015	12	38	12	55	1015	16692	30	0	9	1	0	5	1	384	10	49	2	23	5	19	9	
2022-01-01 11:07:00	1048	Student	3	1	6667	11	7	12	58	6667	11240	125	0	9	1	1	4	1	384	6	49	2	21	5	21	9	
