Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
931	Staff	5	0	207	8	25	8	28	207	1455	3	0	6	2	9	3	1	365	1	96	16	50	8	22	0	
942	Visitor	1	0	768	8	47	8	59	768	2663	32	0	5	2	9	3	1	365	4	90	15	45	8	22	0	
935	Visitor	1	0	1576	8	35	9	1	1576	2020	66	0	8	1	2	1	1	354	6	95	15	50	8	22	0	
937	Student	3	0	2310	8	38	9	16	2310	2173	43	0	6	2	9	3	1	365	5	93	15	48	8	22	0	
956	Student	3	0	179	9	17	9	20	179	4375	3	0	6	2	3	9	1	365	12	75	7	38	8	22	0	
953	Student	3	0	471	9	9	9	17	471	3960	9	0	5	2	8	4	1	365	13	80	10	40	8	22	1	
964	Student	3	0	646	9	19	9	30	646	4468	12	0	5	2	5	7	1	365	12	74	6	38	8	22	1	
975	Visitor	1	0	172	9	29	9	32	172	4986	7	0	9	1	1	4	1	384	13	70	3	37	8	22	2	
965	Faculty	2	0	1001	9	17	9	34	1001	4346	29	0	10	1	2	3	1	384	11	75	7	38	8	22	3	
973	Student	3	0	501	8	0	8	0	0	-317	0	0	0	0	0	0	2	672	17	0	0	0	0	0	4	
983	Student	3	0	3394	8	0	8	0	0	-366	0	0	0	0	0	0	2	672	17	0	0	0	0	0	5	
954	Student	3	0	1814	9	10	9	40	1814	3995	34	0	6	2	3	9	1	365	12	79	10	39	8	22	7	
987	Visitor	1	0	1381	8	0	8	0	0	-391	0	0	0	0	0	0	2	672	19	0	0	0	0	0	7	
950	Student	3	0	2993	8	59	9	49	2993	3375	56	0	9	1	4	1	1	384	9	85	11	44	8	22	7	
981	Visitor	1	0	6639	8	0	8	0	0	-363	0	0	0	0	0	0	2	672	18	0	0	0	0	0	7	
941	Student	3	0	3609	8	47	9	47	3609	2689	68	0	6	2	7	5	1	365	3	90	15	45	8	22	7	
992	Faculty	2	0	1662	8	0	8	0	0	-430	0	0	0	0	0	0	2	672	18	0	0	0	0	0	8	
1000	Visitor	1	0	7909	8	0	8	0	0	-454	0	0	0	0	0	0	2	672	16	0	0	0	0	0	9	
972	Student	3	0	1731	9	31	9	60	1731	5133	32	0	5	2	4	8	1	365	11	70	3	37	8	22	9	
1003	Student	3	0	141	8	0	8	0	0	-475	0	0	0	0	0	0	2	672	15	0	0	0	0	0	9	
997	Faculty	2	0	8237	8	0	8	0	0	-449	0	0	0	0	0	0	2	672	14	0	0	0	0	0	9	
952	Student	3	0	3984	9	4	10	10	3984	3610	75	0	5	2	9	3	1	365	10	83	11	42	8	22	9	
1011	Visitor	1	0	4885	8	0	8	0	0	-521	0	0	0	0	0	0	2	672	11	0	0	0	0	0	9	
1009	Visitor	1	0	2831	8	0	8	0	0	-509	0	0	0	0	0	0	2	672	11	0	0	0	0	0	9	
947	Staff	5	0	3894	9	5	10	9	3894	3689	49	0	9	1	3	2	1	384	9	82	11	41	8	22	10	
1022	Student	3	0	5736	8	0	8	0	0	-579	0	0	0	0	0	0	2	672	12	0	0	0	0	0	11	
930	Staff	5	0	7426	8	21	10	24	7426	1218	93	0	6	2	9	3	1	365	1	96	16	50	8	22	11	
945	Student	3	0	5204	8	55	10	21	5204	3106	98	0	8	1	0	3	1	354	8	88	13	45	8	22	11	
